UnixTime	Latitude	Longitude	Altitude
1480696990	-78.049065	168.782776	31168.160156
1480697090	-78.049591	168.737778	31455.199219
1480697190	-78.051277	168.701935	31710.060547
1480697290	-78.052307	168.670242	31842.820312
1480697390	-78.052956	168.634430	32056.820312
1480697490	-78.053764	168.588547	32316.339844
1480697590	-78.055763	168.543427	32450.279297
1480697690	-78.058327	168.503525	32678.849609
1480697790	-78.059784	168.464432	32935.218750
1480697890	-78.059250	168.423935	32984.281250
1480697990	-78.058517	168.382416	33168.011719
1480698090	-78.060081	168.341141	33515.851562
1480698190	-78.062630	168.306396	33572.230469
1480698290	-78.065025	168.275360	33643.980469
1480698390	-78.063629	168.236069	34002.089844
1480698490	-78.060066	168.189926	34081.820312
1480698590	-78.056366	168.142883	34176.359375
1480698690	-78.053398	168.093323	34509.218750
1480698790	-78.052483	168.039673	34698.230469
1480698890	-78.052620	167.983109	34682.148438
1480698990	-78.052803	167.927826	34909.148438
1480699090	-78.052238	167.871765	35115.078125
1480699190	-78.050766	167.814270	35182.199219
1480699290	-78.049156	167.756058	35341.519531
1480699390	-78.049065	167.701187	35574.230469
1480699490	-78.052231	167.631943	35611.121094
1480699590	-78.055695	167.557663	35594.578125
1480699690	-78.058739	167.484329	35843.179688
1480699790	-78.060883	167.419464	35966.039062
1480699890	-78.062820	167.362228	35999.511719
1480699997	-78.065903	167.309448	36277.589844
1480700097	-78.070259	167.265442	36491.050781
1480700197	-78.073822	167.221252	36586.781250
1480700297	-78.076035	167.173248	36763.199219
1480700397	-78.077332	167.118744	36826.300781
1480700497	-78.078926	167.061676	36918.648438
1480700597	-78.080223	167.002960	37127.250000
1480700697	-78.081024	166.939163	37221.738281
1480700797	-78.081276	166.868332	37316.839844
1480700897	-78.081329	166.785614	37342.460938
1480700997	-78.081619	166.695557	37380.789062
1480701097	-78.082855	166.601761	37621.800781
1480701197	-78.087303	166.505371	37778.308594
1480701297	-78.093666	166.408310	37722.660156
1480701397	-78.101387	166.314285	37856.171875
1480701497	-78.110413	166.234146	38056.710938
1480701597	-78.120415	166.171463	38099.089844
1480701697	-78.130249	166.113052	38102.429688
1480701797	-78.140327	166.060455	38327.511719
1480701897	-78.149673	166.021561	38606.500000
1480701997	-78.155548	165.993378	38580.371094
1480702097	-78.161301	165.969864	38574.929688
1480702197	-78.166222	165.947647	38825.988281
1480702297	-78.167946	165.912231	39143.410156
1480702397	-78.167473	165.847855	39173.460938
1480702497	-78.166313	165.785736	39059.640625
1480702597	-78.165367	165.727142	39255.039062
1480702697	-78.165039	165.647781	39423.539062
1480702797	-78.164970	165.558090	39314.078125
1480702897	-78.164848	165.468750	39383.839844
1480702997	-78.166885	165.386230	39597.210938
1480703097	-78.170692	165.313873	39527.121094
1480703197	-78.175011	165.240433	39537.019531
1480703297	-78.180077	165.170929	39702.191406
1480703397	-78.185806	165.109177	39655.429688
1480703497	-78.191429	165.049316	39650.710938
1480703597	-78.196281	164.991501	39802.121094
1480703697	-78.200623	164.932465	39864.160156
1480703797	-78.205330	164.873779	39787.070312
1480703897	-78.210358	164.817719	39861.050781
1480703997	-78.215065	164.761475	39917.191406
1480704097	-78.219925	164.706299	39746.878906
1480704197	-78.224709	164.651398	39784.058594
1480704297	-78.229225	164.594711	39915.230469
1480704397	-78.233185	164.534805	39849.691406
1480704497	-78.237083	164.474731	39776.191406
1480704597	-78.240913	164.416840	39853.300781
1480704697	-78.244446	164.358032	39936.839844
